token_id,wallet,name
0,0x7fbDA214a525533f9c8736f1efdbDcfc50B12527,Dalia
1,0x7fbDA214a525533f9c8736f1efdbDcfc50B12310,Dalia
2,0x7fbDA214a525533f9c8736f1efdbDcfc50B12311,Dalia
3,0x7fbDA214a525533f9c8736f1efdbDcfc50B12312,Dalia
4,0x7fbDA214a525533f9c8736f1efdbDcfc50B12313,Dalia
5,0x7fbDA214a525533f9c8736f1efdbDcfc50B12314,Dalia
6,0x7fbDA214a525533f9c8736f1efdbDcfc50B12315,Dalia
7,0x7fbDA214a525533f9c8736f1efdbDcfc50B12316,Dalia
8,0x7fbDA214a525533f9c8736f1efdbDcfc50B12317,Dalia
9,0x7fbDA214a525533f9c8736f1efdbDcfc50B12318,Dalia
10,0x7fbDA214a525533f9c8736f1efdbDcfc50B12319,Dalia
11,0xAaD72E1B010eD19A61fd44A9B8E792DFd2EbD55E,artist
12,0x65d03934D3cb4A9488B8Fd659A522d64b13B08F6,paper-wallet
13,0x7A07C9DFd5d7eA9d5F54FD6Fd054b9cf2fD8a463,Tobias
14,0x7fbDA214a525533f9c8736f1efdbDcfc50B12320,Dalia
15,0x7fbDA214a525533f9c8736f1efdbDcfc50B12321,Dalia
16,0x7fbDA214a525533f9c8736f1efdbDcfc50B12322,Dalia
17,0x0a6E1eBDE07f4e3ee8AA7e6d0C473e30B7B69015,paper-wallet
18,0x7fbDA214a525533f9c8736f1efdbDcfc50B12310,Dalia
19,0x503dFc34f7dd56a19531E3Fbd5A350CecE761c7e,artist
20,0x7fbDA214a525533f9c8736f1efdbDcfc50B12323,Dalia
21,0x7A07C9DFd5d7eA9d5F54FD6Fd054b9cf2fD8a463,Tobias
22,0x7fbDA214a525533f9c8736f1efdbDcfc50B12324,Dalia
23,0x79BB6EF7Bd380B785b07B045172dcE478B8Cbd37,paper-wallet
24,0xb794E9Ad91F80123850e98752cc6C98c7946973f,artist
25,0x7fbDA214a525533f9c8736f1efdbDcfc50B12325,Dalia
26,0x7fbDA214a525533f9c8736f1efdbDcfc50B12326,Dalia
27,0x939B119cA5023D8bEB19EBb1Fe5f7d48915932a7,Andri
28,0x7fbDA214a525533f9c8736f1efdbDcfc50B12327,Dalia
29,0xe7F7091E8C3Eb26e0347d820404047c08c622b11,paper-wallet
30,0xE5b9f52566A68f630b58b2ccE302e793fe92256a,artist
31,0x7fbDA214a525533f9c8736f1efdbDcfc50B12328,Dalia
32,0x7fbDA214a525533f9c8736f1efdbDcfc50B12329,Dalia
33,0x7fbDA214a525533f9c8736f1efdbDcfc50B12330,Dalia
34,0x7fbDA214a525533f9c8736f1efdbDcfc50B12331,Dalia
35,0x161829a7f361F55062Dfac48fa22618D8d42Fea4,paper-wallet
36,0x7A07C9DFd5d7eA9d5F54FD6Fd054b9cf2fD8a463,Tobias
37,0x119E5A1B05619A3202347771725aF10C69BfffD8,artist
38,0xa36337cf4848f8145E0Fa7214DD51B5D5652EAad,Renato
39,0x7fbDA214a525533f9c8736f1efdbDcfc50B12332,Dalia
40,0x7fbDA214a525533f9c8736f1efdbDcfc50B12333,Dalia
41,0x79B7cf96c19e3bFc63016a1B016b536Ad649E47B,paper-wallet
42,0x939B119cA5023D8bEB19EBb1Fe5f7d48915932a7,Andri
43,0x85dF6C5c621e301fBBDbe1D45A5262b2DD4fEE7C,artist
44,0x7fbDA214a525533f9c8736f1efdbDcfc50B12310,Dalia
45,0x7fbDA214a525533f9c8736f1efdbDcfc50B12334,Dalia
46,0x7fbDA214a525533f9c8736f1efdbDcfc50B12335,Dalia
47,0xE51e8Ca2Abd52B234934f1031442E96c280298a0,paper-wallet
48,0x56F7c7361E6D5553E9A4F7dDc5A0CF07B9bffb1D,artist
49,0xa36337cf4848f8145E0Fa7214DD51B5D5652EAad,Renato
50,0x7fbDA214a525533f9c8736f1efdbDcfc50B12336,Dalia
51,0x7fbDA214a525533f9c8736f1efdbDcfc50B12337,Dalia
52,0x7fbDA214a525533f9c8736f1efdbDcfc50B12338,Dalia
53,0x7dDF613F35B25E830690Aa6a2F7934629E62214e,paper-wallet
54,0x155032977f5f824Dbe6148A61f45b8dF22df6897,artist
55,0x7fbDA214a525533f9c8736f1efdbDcfc50B12339,Dalia
56,0x7fbDA214a525533f9c8736f1efdbDcfc50B12340,Dalia
57,0x7fbDA214a525533f9c8736f1efdbDcfc50B12341,Dalia
58,0x7fbDA214a525533f9c8736f1efdbDcfc50B12342,Dalia
59,0x81da9343169C31F174F12560E0E65B823432f252,paper-wallet
60,0x850a48CB9549113C3bb40DB9484c0E7571bFff34,artist
61,0xa36337cf4848f8145E0Fa7214DD51B5D5652EAad,Renato
62,0x7fbDA214a525533f9c8736f1efdbDcfc50B12343,Dalia
63,0x7fbDA214a525533f9c8736f1efdbDcfc50B12344,Dalia
64,0x7fbDA214a525533f9c8736f1efdbDcfc50B12345,Dalia
65,0x105CD7Ff34A4e0Dd4Ad754d7BDA3c02995063bdF,paper-wallet
66,0xe95816b6e96230235663Fd7fDcd11C2B0b79dFaD,artist
67,0x7fbDA214a525533f9c8736f1efdbDcfc50B12346,Dalia
68,0x7fbDA214a525533f9c8736f1efdbDcfc50B12347,Dalia
69,0x939B119cA5023D8bEB19EBb1Fe5f7d48915932a7,Andri
70,0x7fbDA214a525533f9c8736f1efdbDcfc50B12348,Dalia
71,0x5Dd36953430Ffd9985a2A34e2004e44ea8AA1dC2,paper-wallet
72,0xE952682F8A3Bf13E2BB65AE237a8ef252639ef5d,artist
73,0x7fbDA214a525533f9c8736f1efdbDcfc50B12349,Dalia
74,0x7fbDA214a525533f9c8736f1efdbDcfc50B12350,Dalia
75,0x7fbDA214a525533f9c8736f1efdbDcfc50B12351,Dalia
76,0x1ed581811c77757AA946512F981Dc576C58817Af,paper-wallet
77,0x7fbDA214a525533f9c8736f1efdbDcfc50B12310,Dalia
78,0xC7F669514cb031D0027181e4F76e02Ce3d8c71B8,artist
79,0x7fbDA214a525533f9c8736f1efdbDcfc50B12352,Dalia
80,0x7fbDA214a525533f9c8736f1efdbDcfc50B12353,Dalia
81,0x7fbDA214a525533f9c8736f1efdbDcfc50B12354,Dalia
82,0x7fbDA214a525533f9c8736f1efdbDcfc50B12355,Dalia
83,0xd4768179c3956a3130111dcb2b5b639ae9F86b52,paper-wallet
84,0xC75b83e1033fD6664e72c345c06b7292E3DF5397,artist
85,0x7fbDA214a525533f9c8736f1efdbDcfc50B12356,Dalia
86,0x7fbDA214a525533f9c8736f1efdbDcfc50B12357,Dalia
87,0x7fbDA214a525533f9c8736f1efdbDcfc50B12358,Dalia
88,0x7fbDA214a525533f9c8736f1efdbDcfc50B12359,Dalia
89,0x1109d3A8d48E86706E7F13975e5A43bcb37F5998,paper-wallet
90,0xD11e983Dde109A1B19477fDaa8b1707b3D97CBbe,artist
91,0x7fbDA214a525533f9c8736f1efdbDcfc50B12360,Dalia
